checkpoint,method,object,seed,final_lift_m,max_lift_m,normalized_lift_score,success,success_step,trajectory_id
epoch_001,baseline,cellphone,0,6.99758529663086e-05,8.0108642578125e-05,0.00026702880859375,False,-1,15
epoch_001,baseline,cellphone,0,-0.0022640228271484375,0.0005388855934143066,0.0017962853113810222,False,-1,16
epoch_001,baseline,cellphone,0,-1.0251998901367188e-05,0.0,0.0,False,-1,17
epoch_001,baseline,cellphone,0,7.587671279907227e-05,7.778406143188477e-05,0.0002592802047729492,False,-1,18
epoch_001,baseline,cellphone,0,-2.2411346435546875e-05,0.0,0.0,False,-1,19
epoch_005,baseline,cellphone,0,2.086162567138672e-06,2.205371856689453e-06,7.351239522298178e-06,False,-1,0
epoch_005,baseline,cellphone,0,5.960464477539063e-08,1.7881393432617188e-07,5.960464477539062e-07,False,-1,1
epoch_005,baseline,cellphone,0,2.384185791015625e-07,4.76837158203125e-07,1.5894571940104167e-06,False,-1,2
epoch_005,baseline,cellphone,0,-5.125999450683594e-06,0.0,0.0,False,-1,3
epoch_005,baseline,cellphone,0,-0.0012279152870178223,0.00021654367446899414,0.0007218122482299805,False,-1,4
epoch_005,baseline,cellphone,0,-0.0010623335838317871,0.002225041389465332,0.007416804631551107,False,-1,5
epoch_005,baseline,cellphone,0,-0.0022478103637695312,0.0005506277084350586,0.0018354256947835288,False,-1,6
epoch_005,baseline,cellphone,0,-0.001217961311340332,0.0002116560935974121,0.0007055203119913738,False,-1,7
epoch_005,baseline,cellphone,0,-0.0022597908973693848,0.0005385875701904297,0.0017952919006347656,False,-1,8
epoch_005,baseline,cellphone,0,-0.001067042350769043,0.002221345901489258,0.007404486338297526,False,-1,9
epoch_005,baseline,cellphone,0,-0.002264559268951416,0.0005382895469665527,0.0017942984898885093,False,-1,10
epoch_005,baseline,cellphone,0,-0.0004372596740722656,0.0,0.0,False,-1,11
epoch_005,baseline,cellphone,0,-0.001311659812927246,0.002211332321166992,0.007371107737223308,False,-1,12
epoch_005,baseline,cellphone,0,-0.002264559268951416,0.0005376935005187988,0.001792311668395996,False,-1,13
epoch_005,baseline,cellphone,0,7.480382919311523e-05,7.712841033935547e-05,0.00025709470113118493,False,-1,14
epoch_005,baseline,cellphone,0,6.99758529663086e-05,8.0108642578125e-05,0.00026702880859375,False,-1,15
epoch_005,baseline,cellphone,0,-0.0022758841514587402,0.0005286335945129395,0.0017621119817097983,False,-1,16
epoch_005,baseline,cellphone,0,-1.0251998901367188e-05,0.0,0.0,False,-1,17
epoch_005,baseline,cellphone,0,7.587671279907227e-05,7.778406143188477e-05,0.0002592802047729492,False,-1,18
epoch_005,baseline,cellphone,0,-2.2411346435546875e-05,0.0,0.0,False,-1,19
epoch_010,baseline,cellphone,0,4.172325134277344e-06,0.0175858736038208,0.05861957867940267,False,-1,0
epoch_010,baseline,cellphone,0,5.960464477539063e-08,1.7881393432617188e-07,5.960464477539062e-07,False,-1,1
epoch_010,baseline,cellphone,0,2.384185791015625e-07,4.76837158203125e-07,1.5894571940104167e-06,False,-1,2
epoch_010,baseline,cellphone,0,-5.125999450683594e-06,0.0,0.0,False,-1,3
epoch_010,baseline,cellphone,0,-0.0014889240264892578,0.000386655330657959,0.0012888511021931968,False,-1,4
epoch_010,baseline,cellphone,0,0.0020962953567504883,0.002224862575531006,0.0074162085851033534,False,-1,5
epoch_010,baseline,cellphone,0,-0.0022742152214050293,0.0044574737548828125,0.014858245849609375,False,-1,6
epoch_010,baseline,cellphone,0,-0.0014790892601013184,0.00036919116973876953,0.0012306372324625652,False,-1,7
epoch_010,baseline,cellphone,0,-0.002254307270050049,0.0005432367324829102,0.0018107891082763672,False,-1,8
epoch_010,baseline,cellphone,0,-0.0013115406036376953,0.002210557460784912,0.007368524869283041,False,-1,9
epoch_010,baseline,cellphone,0,-0.002257049083709717,0.017548084259033203,0.058493614196777344,False,-1,10
epoch_010,baseline,cellphone,0,-0.0004964470863342285,0.0,0.0,False,-1,11
epoch_010,baseline,cellphone,0,-0.0013076066970825195,0.0022150278091430664,0.007383426030476889,False,-1,12
epoch_010,baseline,cellphone,0,-0.0020644664764404297,0.0008188486099243164,0.002729495366414388,False,-1,13
epoch_010,baseline,cellphone,0,7.480382919311523e-05,7.712841033935547e-05,0.00025709470113118493,False,-1,14
epoch_010,baseline,cellphone,0,6.99758529663086e-05,8.0108642578125e-05,0.00026702880859375,False,-1,15
epoch_010,baseline,cellphone,0,-0.002263486385345459,0.0037450194358825684,0.012483398119608562,False,-1,16
epoch_010,baseline,cellphone,0,-1.0251998901367188e-05,0.0,0.0,False,-1,17
epoch_010,baseline,cellphone,0,7.587671279907227e-05,7.778406143188477e-05,0.0002592802047729492,False,-1,18
epoch_010,baseline,cellphone,0,-2.2411346435546875e-05,0.0,0.0,False,-1,19
epoch_025,baseline,cellphone,0,2.086162567138672e-06,2.205371856689453e-06,7.351239522298178e-06,False,-1,0
epoch_025,baseline,cellphone,0,5.602836608886719e-06,0.14845514297485352,0.4948504765828451,False,-1,1
epoch_025,baseline,cellphone,0,2.759695053100586e-05,3.534555435180664e-05,0.00011781851450602214,False,-1,2
epoch_025,baseline,cellphone,0,-5.125999450683594e-06,0.0,0.0,False,-1,3
epoch_025,baseline,cellphone,0,-0.0014889240264892578,0.000386655330657959,0.0012888511021931968,False,-1,4
epoch_025,baseline,cellphone,0,0.15261399745941162,0.15394210815429688,0.513140360514323,True,34,5
epoch_025,baseline,cellphone,0,-0.002275407314300537,0.0005312561988830566,0.0017708539962768555,False,-1,6
epoch_025,baseline,cellphone,0,-0.0014790892601013184,0.00036919116973876953,0.0012306372324625652,False,-1,7
epoch_025,baseline,cellphone,0,-0.0022547245025634766,0.0005432367324829102,0.0018107891082763672,False,-1,8
epoch_025,baseline,cellphone,0,-0.0013099312782287598,0.002210557460784912,0.007368524869283041,False,-1,9
epoch_025,baseline,cellphone,0,-0.0022586584091186523,0.0005416274070739746,0.001805424690246582,False,-1,10
epoch_025,baseline,cellphone,0,-0.00044077634811401367,0.0,0.0,False,-1,11
epoch_025,baseline,cellphone,0,-0.0010687708854675293,0.006500720977783203,0.02166906992594401,False,-1,12
epoch_025,baseline,cellphone,0,-0.002257823944091797,0.0005417466163635254,0.0018058220545450847,False,-1,13
epoch_025,baseline,cellphone,0,7.480382919311523e-05,7.712841033935547e-05,0.00025709470113118493,False,-1,14
epoch_025,baseline,cellphone,0,6.99758529663086e-05,8.0108642578125e-05,0.00026702880859375,False,-1,15
epoch_025,baseline,cellphone,0,-0.0022640228271484375,0.0005384683609008789,0.0017948945363362632,False,-1,16
epoch_025,baseline,cellphone,0,-1.0251998901367188e-05,0.0,0.0,False,-1,17
epoch_025,baseline,cellphone,0,7.587671279907227e-05,7.778406143188477e-05,0.0002592802047729492,False,-1,18
epoch_025,baseline,cellphone,0,-2.2411346435546875e-05,0.0,0.0,False,-1,19
epoch_050,baseline,cellphone,0,2.086162567138672e-06,2.205371856689453e-06,7.351239522298178e-06,False,-1,0
epoch_050,baseline,cellphone,0,5.960464477539063e-08,1.7881393432617188e-07,5.960464477539062e-07,False,-1,1
epoch_050,baseline,cellphone,0,2.384185791015625e-07,4.76837158203125e-07,1.5894571940104167e-06,False,-1,2
epoch_050,baseline,cellphone,0,-5.125999450683594e-06,0.0,0.0,False,-1,3
epoch_050,baseline,cellphone,0,-0.0014889240264892578,0.000386655330657959,0.0012888511021931968,False,-1,4
epoch_050,baseline,cellphone,0,-0.0010613203048706055,0.005724191665649414,0.019080638885498047,False,-1,5
epoch_050,baseline,cellphone,0,-0.002275526523590088,0.0005312561988830566,0.0017708539962768555,False,-1,6
epoch_050,baseline,cellphone,0,-0.0014790892601013184,0.00036919116973876953,0.0012306372324625652,False,-1,7
